,siteID,location,HOR.VER,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
1,BARR,1,1.501,0.11,2.6,-0.02,0.2,0,10,71.282347,-156.618856,6.71
2,BARR,2,2.501,0.19,3.17,-0.02,0.5,0,170,71.281891,-156.617702,6.71
3,BARR,3,3.501,4.87,2.9,-0.01,1.1,0,230,71.282112,-156.616576,6.71
4,BARR,4,4.501,4.74,2.98,-0.02,0.3,0,260,71.282065,-156.615317,6.71
5,BARR,5,5.501,4.72,2.11,-0.02,1.2,0,140,71.28201,-156.613803,6.71
6,TOOL,1,1.501,4.85,2.62,-0.02,1,0,40,68.660853,-149.369689,833.22
7,TOOL,2,2.501,0.46,2.84,-0.02,0.7,0,230,68.660664,-149.370236,833.01
8,TOOL,3,3.501,0.2,2.65,-0.02,0,0,0,68.660406,-149.370053,833.68
9,TOOL,4,4.501,0.2,2.97,-0.02,1.3,0,172,68.660144,-149.369867,834.37
10,TOOL,5,5.501,1.1,2.78,-0.02,1,0,220,68.659881,-149.369683,835.15
11,BONA,1,1.501,3.2,0.11,-0.02,1.9,0,160,65.153992,-147.502961,232.7
12,BONA,2,2.501,2.6,0.16,-0.01,2.3,0,160,65.153894,-147.503556,232.86
13,BONA,3,3.501,2.6,0.16,-0.02,1.7,0,140,65.153794,-147.504153,233.32
14,BONA,4,4.501,2.7,0.23,-0.02,0.7,0,90,65.153697,-147.504747,233.13
15,BONA,5,5.501,2.6,0.18,-0.03,2.7,0,5,65.153611,-147.505353,232.89
16,HEAL,1,1.501,2.67,0.19,-0.03,1,0,260,63.875538,-149.213615,679.1
17,HEAL,2,2.501,3.22,0.11,-0.02,0.5,0,330,63.875256,-149.214271,680.4
18,HEAL,3,3.501,3.18,0.15,-0.02,0.6,0,75,63.874974,-149.214926,682
19,HEAL,4,4.501,3.09,0.07,-0.02,1.2,0,160,63.874692,-149.215581,683.8
20,HEAL,5,5.501,3.1,0.98,-0.02,0.6,0,350,63.87441,-149.216237,685.4
