"site_pos","depth","fall","winter","spring","summer"
"BARR","0-5 cm",6,0,0,0
"BARR","10-20 cm",1,0,0,1
"BARR","130-140 cm",0,0,0,0
"BARR","170-180 cm",0,0,0,0
"BARR","180-190 cm",0,0,0,0
"BARR","190-200 cm",0,0,0,0
"BARR","20-30 cm",0,0,0,0
"BARR","220-230 cm",0,0,0,0
"BARR","30-40 cm",0,0,0,0
"BARR","5-10 cm",7,0,0,0
"BARR","50-60 cm",0,0,0,0
"BARR","80-90 cm",0,0,0,0
"BARR","100-110 cm",0,0,0,0
"BARR","150-160 cm",0,0,0,0
"BARR","200-210 cm",0,0,0,0
"BARR","40-50 cm",0,0,0,0
"BARR","70-80 cm",0,0,0,0
"BARR","120-130 cm",0,0,0,0
"BARR","160-170 cm",0,0,0,0
"BARR","60-70 cm",0,0,0,0
"BARR","90-100 cm",0,0,0,0
"BONA","0-5 cm",24,0,19,4
"BONA","10-20 cm",10,1,2,0
"BONA","130-140 cm",0,0,0,0
"BONA","170-180 cm",0,0,0,0
"BONA","180-190 cm",0,0,0,0
"BONA","190-200 cm",0,0,0,0
"BONA","20-30 cm",3,0,1,0
"BONA","220-230 cm",0,0,0,0
"BONA","30-40 cm",0,0,0,0
"BONA","5-10 cm",22,0,11,4
"BONA","50-60 cm",0,0,0,0
"BONA","80-90 cm",0,0,0,0
"BONA","100-110 cm",0,0,0,0
"BONA","150-160 cm",0,0,0,0
"BONA","200-210 cm",0,0,0,0
"BONA","40-50 cm",0,1,1,0
"BONA","70-80 cm",0,0,1,0
"BONA","120-130 cm",0,0,0,0
"BONA","160-170 cm",0,0,0,0
"BONA","60-70 cm",0,0,0,0
"BONA","90-100 cm",0,0,0,0
"HEAL","0-5 cm",14,8,41,2
"HEAL","10-20 cm",14,4,35,2
"HEAL","130-140 cm",0,0,0,0
"HEAL","170-180 cm",0,0,0,0
"HEAL","180-190 cm",0,0,0,0
"HEAL","190-200 cm",0,0,0,0
"HEAL","20-30 cm",14,1,32,2
"HEAL","220-230 cm",0,0,0,0
"HEAL","30-40 cm",8,0,5,0
"HEAL","5-10 cm",15,7,37,2
"HEAL","50-60 cm",0,0,0,0
"HEAL","80-90 cm",0,0,0,0
"HEAL","100-110 cm",0,0,0,0
"HEAL","150-160 cm",0,0,0,0
"HEAL","200-210 cm",0,0,0,0
"HEAL","40-50 cm",0,1,0,0
"HEAL","70-80 cm",0,0,0,0
"HEAL","120-130 cm",0,0,0,0
"HEAL","160-170 cm",0,0,0,0
"HEAL","60-70 cm",0,1,0,0
"HEAL","90-100 cm",0,0,0,0
"TOOL","0-5 cm",13,0,1,0
"TOOL","10-20 cm",0,0,0,0
"TOOL","130-140 cm",0,0,0,0
"TOOL","170-180 cm",0,0,0,0
"TOOL","180-190 cm",0,0,0,0
"TOOL","190-200 cm",0,0,0,0
"TOOL","20-30 cm",0,1,0,0
"TOOL","220-230 cm",0,0,0,0
"TOOL","30-40 cm",0,1,0,0
"TOOL","5-10 cm",7,0,1,0
"TOOL","50-60 cm",0,1,0,0
"TOOL","80-90 cm",0,0,0,0
"TOOL","100-110 cm",0,0,0,0
"TOOL","150-160 cm",0,0,0,0
"TOOL","200-210 cm",0,0,0,0
"TOOL","40-50 cm",0,1,0,0
"TOOL","70-80 cm",0,0,0,0
"TOOL","120-130 cm",0,0,0,0
"TOOL","160-170 cm",0,0,0,0
"TOOL","60-70 cm",0,0,0,0
"TOOL","90-100 cm",0,0,0,0
