sample,quartz,quartz_stdev,albite,albite_stdev,microcline,microcline_stdev,mica,mica_stdev,chlorite,chlorite_stdev,kaolinite,kaolinite_stdev,hornblende,hornblende_stdev,rwp,feldspar
H1 24-33,50%,ñ0.3%,17%,ñ0.2%,6.2%,ñ0.3%,17%,ñ0.3%,6.1%,ñ0.2%,2.8%,ñ0.2%,1.3%,ñ0.2%,7.9%,23%
H1 33-50,48%,ñ0.4%,12%,ñ0.3%,6.9%,ñ0.3%,23%,ñ0.3%,5.1%,ñ0.3%,3.7%,ñ0.2%,1.6%,ñ0.3%,6.6%,19%
H1 50-60,49%,ñ0.3%,16%,ñ0.3%,6.2%,ñ0.3%,20%,ñ0.3%,5.7%,ñ0.3%,2.9%,ñ0.2%,1.2%,ñ0.2%,7.1%,22%
H2 28-34,45%,ñ0.4%,17%,ñ0.3%,3.1%,ñ0.3%,22%,ñ0.3%,7.3%,ñ0.3%,3.8%,ñ0.2%,1.9%,ñ0.3%,7.4%,20%
H2 34-47,41%,ñ0.3%,17%,ñ0.3%,3.8%,ñ0.3%,25%,ñ0.3%,8.3%,ñ0.3%,4.2%,ñ0.2%,0.4%,ñ0.2%,6.5%,21%
H2 47-68,46%,ñ0.3%,18%,ñ0.2%,5.6%,ñ0.3%,20%,ñ0.3%,5.9%,ñ0.2%,2.5%,ñ0.2%,2.1%,ñ0.2%,7.1%,24%
H3 30-38,39%,ñ0.4%,14%,ñ0.3%,5.2%,ñ0.4%,29%,ñ0.4%,5.3%,ñ0.4%,6.2%,ñ0.3%,1.2%,ñ0.4%,6.0%,19%
H3 40-50,50%,ñ0.4%,15%,ñ0.3%,8.6%,ñ0.3%,16%,ñ0.3%,6.2%,ñ0.3%,2.7%,ñ0.2%,1.2%,ñ0.3%,6.5%,24%
T1 40-60,82%,ñ0.5%,4.0%,ñ0.2%,1.2%,ñ0.2%,5.9%,ñ0.3%,4.1%,ñ0.3%,2.4%,ñ0.2%,0.0%,ñ0.2%,9.9%,5.2%
T1 60-67,82%,ñ0.5%,4.8%,ñ0.2%,0.9%,ñ0.2%,5.4%,ñ0.3%,4.6%,ñ0.3%,2.2%,ñ0.2%,0.0%,ñ0.2%,9.3%,5.7%
T2 28-38,83%,ñ0.5%,3.5%,ñ0.2%,1.4%,ñ0.2%,5.8%,ñ0.3%,4.3%,ñ0.3%,2.1%,ñ0.2%,0.0%,ñ0.2%,9.9%,4.9%
T2 38-44,78%,ñ0.5%,3.6%,ñ0.2%,1.2%,ñ0.3%,7.5%,ñ0.3%,6.3%,ñ0.3%,3.1%,ñ0.2%,0.0%,ñ0.3%,8.4%,4.9%
T2 44-58,78%,ñ0.5%,3.2%,ñ0.3%,1.6%,ñ0.3%,9.6%,ñ0.3%,4.5%,ñ0.3%,2.9%,ñ0.2%,0.0%,ñ0.2%,10%,4.8%
T3 0-14,51%,ñ0.9%,17%,ñ0.6%,4.0%,ñ0.7%,8.4%,ñ0.8%,13%,ñ0.7%,6.3%,ñ0.5%,0.1%,ñ0.6%,6.8%,21%
T3 14-35,51%,ñ1.4%,3.3%,ñ0.9%,0.0%,ñ1.2%,15%,ñ1.2%,13%,ñ1.1%,15%,ñ0.8%,2.2%,ñ1.1%,5.1%,3.3%
T3 35-41 rpt,82%,ñ0.5%,5.0%,ñ0.2%,0.8%,ñ0.2%,6.1%,ñ0.3%,4.2%,ñ0.2%,2.1%,ñ0.2%,0.0%,ñ0.2%,9.6%,5.8%
T3 35-41,83%,ñ0.5%,5.2%,ñ0.2%,0.9%,ñ0.2%,4.9%,ñ0.3%,4.3%,ñ0.2%,2.1%,ñ0.2%,0.0%,ñ0.2%,9.3%,6.1%
T3 41-50,82%,ñ0.5%,5.0%,ñ0.2%,0.9%,ñ0.2%,6.4%,ñ0.3%,4.2%,ñ0.3%,1.8%,ñ0.2%,0.0%,ñ0.2%,9.7%,5.9%
T3 50-58,82%,ñ0.5%,4.9%,ñ0.2%,0.8%,ñ0.2%,6.0%,ñ0.3%,4.6%,ñ0.3%,2.0%,ñ0.2%,0.0%,ñ0.2%,8.9%,5.8%
